Title,Rating,Reviews
Pretty good,I am using it since 2 months and i have found some problems such as-1. Lag in UI.2. Lag in some application.3. Lag when split app function enabled.4. Battery optimisation required.5. High battery usage sometimes.6. Gesture tab for screenshot sometimes works for itself.7. Gesture for split screen not works all the time.8. Gesture for ... Basically all the gestures need an optimisation from motorola.Required update to fix above things.READ MORE,4
Worth the money,After using it for three days. It's a Genuine Review. Camera is quite normal. Excellent display and design good performance. Mild heating while charging and downloading apps. In 50% charge I continuously watched Utube videos for 5 hours in low brightness. Slim and compact royal look. I will suggest kindly go for it it's a better better better better better phone.READ MORE,4
Worth the money,"I'm reviewing this product after using it for more than a week. I think this product is providing better specifications at this price.It works well in day-to-day tasks.For Display 5 out of 5,For Software Experience 4.5 out of 5,For Battery 4 out of 5,For Camera 3 Out of 5,For Screen Protection 3 out of 5.Overall 4 out of 5.READ MORE",4
Value-for-money,"Everything is incredible, except the camera which is a little compromised.READ MORE",4
Very Good,"Read Before BuyFirst of all it's a Amezing product in this budgetOne handed mobileDesign is best Display is amezingCamera fantastic and selfie camera is Ok.Sound Quality is Top Class.Never seen sound like this one.But remember it's a stock Android mobile so many function is not available like call recorder ,internet speed metre etc.Otherwise it is a best budget mobile in this segment.Battery performance is also good.It is a very high demanding mobile so maximum time it is not avai...READ MORE",4
Delightful,Mind blowing 🥰🥰🥰🥰READ MORE,4
Fabulous!,This smartphone is awesome all features are good this price range because they give us very fabulous features otherwise brand didn't getREAD MORE,5
Value-for-money,Osm phone in this range 👌👌READ MORE,4
Nice,Nice ☺️READ MORE,3
Awesome,Worth must buy.READ MORE,5
Pretty good,Superb phone.The display is really fluid.Dolby atmos sound was goodGood charging speed and reasonable battery backupClean and best osOnly con in view Volume buttons and power button too delicate not much sturdy.But over all good phone for the priceREAD MORE,4
Fabulous!,Reposting Review after using it for 1week  approx1. Display is best2.Camera Performance is Also Good3. Not a Gamer but the performance was Nice4. Display is prone to scratches5. Loud Dolby Stereo Speakers6. Did not face any battery Drainage issue I have been Using This Phone Continuously on 5G and 144 refresh rate7. Phonne did gets heated when the Hotspot Istur Ed on 5G is On And 144 resfrsh with Full Brightness and using Continuously for 2 hours8. Clean Ul No Bloatware at all complet...READ MORE,5
Terrific purchase,Super prodectREAD MORE,5
Worth every penny,Nice phone... display is awesome..READ MORE,5
Nice product,"The front camera needs to be improved. And the colours are a bit saturated when we capture a photo.Make sure you use the mobile after applying tempered glass as it has delicate curved display.Coming to performance, I don't play games and Mediatek 7030 is okay for my daily usage. If you play games choose another one, it might not be suitable for gamers.Everything else seems okay to me.READ MORE",4
Classy product,This is  Very good phone in this price range: I would suggest you to close your eyes and get the mobile without any doubt.READ MORE,5
Simply awesome,Nice camera 📷  And Super performanceREAD MORE,5
Must buy!,Phone is upto expectationsREAD MORE,5
Good choice,Camera is good at this price range but battery drain is fast as other phonesREAD MORE,4
Just wow!,"I think this is the best option out there in this budget.Practically all I need is there. Battery, display, sleek design, light weight.I am considering this as a Budget Flagship phone.You can't change my mind.Hehe, it's just my opinion, everyone has one too.READ MORE",5
Worth every penny,Nice phone... display is awesome..READ MORE,5
Classy product,This is  Very good phone in this price range: I would suggest you to close your eyes and get the mobile without any doubt.READ MORE,5
Simply awesome,Nice camera 📷  And Super performanceREAD MORE,5
Must buy!,Phone is upto expectationsREAD MORE,5
Value-for-money,Osm phone in this range 👌👌READ MORE,4
Slightly disappointed,Overhiting Phone 10 to 15 minutes use and overhiting problem not toll your choice.READ MORE,1
Pretty good,Superb phone.The display is really fluid.Dolby atmos sound was goodGood charging speed and reasonable battery backupClean and best osOnly con in view Volume buttons and power button too delicate not much sturdy.But over all good phone for the priceREAD MORE,4
Just wow!,"I think this is the best option out there in this budget.Practically all I need is there. Battery, display, sleek design, light weight.I am considering this as a Budget Flagship phone.You can't change my mind.Hehe, it's just my opinion, everyone has one too.READ MORE",5
Not good,Battery is performing very poor it's draining very quickly provides only 3-5 hours of screen timing. Plz don't buyREAD MORE,2
Great product,Best product for this price.but I think it not for all 😅😜READ MORE,5
Nice product,"The front camera needs to be improved. And the colours are a bit saturated when we capture a photo.Make sure you use the mobile after applying tempered glass as it has delicate curved display.Coming to performance, I don't play games and Mediatek 7030 is okay for my daily usage. If you play games choose another one, it might not be suitable for gamers.Everything else seems okay to me.READ MORE",4
Good choice,Camera is good at this price range but battery drain is fast as other phonesREAD MORE,4
Nice product,"Very premium design and perfect finish body in this price range... display is good... Rear camera is ok... Front camera is not good as expectations... Sound is very good...  main problem of this phone is battery draining very fast .. 5000 mah , but draining fast than other mobile...very upset for this... And minor heating problem.. overall goodREAD MORE",4
Value-for-money,Camera is average than Iqoo z7 pro which is available at same price point.Processor is also have less power than Iqoo z7 pro like moto edge 40 Neo has around 5lacks benchmark and iqoo have 7.5lacks benchmark which leads to have better smoothness and flawless mobile experience.This is the only above two cons for moto. If this helpfull please like this comment.READ MORE,4
Useless product,Battery drain too fast. Worst camera. Display and speaker are very good. But camera and battery performance very poorREAD MORE,1
Worth every penny,Best Smartphone i ever had no samsung no iphone can beat it's quality everything of best quality display like oneplus/samsung..camera is fusion of best features of iphone cinematic mode nd samsung videography..bestest premium phone you can get in this price.READ MORE,5
Worth every penny,Great experience.The camera quality is very good 👍.READ MORE,5
Terrific purchase,Display 10/10Battery 8/10Performance 10/10Selfie camera 5/10Back camera 9/10Overall good phoneREAD MORE,5
Highly recommended,"So Beautiful,So Elegant,Just Looking Like Waoooo😍READ MORE",5
Classy product,As beautiful as looks it is equally beautiful to walk.READ MORE,5
Wonderful,Selfie is not too good but overall good value for moneyREAD MORE,5
Awesome,Awesome camera qualityBest phone in this price rangeREAD MORE,5
Pretty good,Very good phoneREAD MORE,4
Decent product,Product is really Good with this price.Some Cons areHeating issue while chargingLooks little smallREAD MORE,5
Perfect product!,"Soo beautiful so elegant just looking wow,, just looking wow🥰READ MORE",5
Fabulous!,"Good Phone, Budget friendly great performance on gaming only heating while heavy gamingREAD MORE",5
Decent product,"Overhyped phone nothing as such, battery performance is very poor, charging is super fast. Poco m3 is 2years old still legendary in terms of battery and performanceDifficult to get curved tempered glass at low cost. Only best part is IP68. No call recording No gallery appREAD MORE",3
Awesome,Feels premium in every aspect. Worth the priceREAD MORE,5
Fabulous!,Everything thing is best in this phone at this rate bt the battery drains too fast as compare to other phones so little bit dissatisfied with battery drain otherwise phone is best .READ MORE,5
Worth the money,"My personal opinion low light camera only good, display, battery and performance also fine, but icant by this for camera so it's ok for me any one buying this phone for photo shoot this is not for us. And sound quality awesome I got very good music experience.READ MORE",4
Must buy!,"It's to Good. 👍Performance is mind blowing. 💪I'm recommemded this phone,,, It's value for money. 🙂Amazing colour Caneel Bay. 🤩READ MORE",5
Worth every penny,"I recently purchased the Motorola Edge 40 Neo, and I am thoroughly impressed with its overall performance. The device combines a powerful processor with ample RAM, ensuring smooth multitasking and lag-free operation. The display is vibrant and immersive, providing an excellent viewing experience.The design of the Edge 40 Neo is sleek and modern, with slim bezels and a premium feel. The build quality is robust, offering a reassuring durability. The camera system delivers stunning photos with...READ MORE",5
Excellent,Nice cameraREAD MORE,5
Mind-blowing purchase,Phone is good.Camera is also good but it boosts colour of the image.Battery is good you can use it whole day in 1 change for normal tasks.READ MORE,5
Terrific purchase,I like this smartphone for daily use. All features are good but it contains google dialer and also announcement recordingREAD MORE,5
Super!,Nice Camera in this price segment. Display size handy. Overall good for day to day use.READ MORE,5
Good quality product,1. Amazing look2. Value for money3. Great looking phone4. IP68 Rating5. Amazing cameraREAD MORE,4
Good choice,"Really I like this Smartphone , especially design is awesome overall worth itREAD MORE",4
Really Nice,Camera is goodREAD MORE,4
Pretty good,"The brand new motorola edge 40 neo comes along with 5000 mah battery but it fails to reach at least 6 hours of SOT. Hope it will be rectified in upcoming update.        Rather than battery, Every thing is looking good. One more thing is I didn't receive any update till now. It can be improved. Motorola is absolutely booming in mid range segment and also in foldable market. Hope it can occupy more than 50 percent market share in Indian mobile market if it continues launching value for money p...READ MORE",4
Pretty good,Simply good picture quality 4.3 out of 5READ MORE,4
Fair,Camera 8/10( Auto Ai Enhanced)Performance - 9/10Display - 10/10Design -10/10Battery - 7/10 ( Lasts 7-8 hrs in normal use)   All of this matte for me . Mobiles heating issue while charging and gaming it gets  very hot otherwise everything is perfect.READ MORE,3
Awesome,Feels premium in every aspect. Worth the priceREAD MORE,5
Very Good,Mind blowing phoneREAD MORE,4
Hated it!,Camera is badREAD MORE,1
Fabulous!,Everything thing is best in this phone at this rate bt the battery drains too fast as compare to other phones so little bit dissatisfied with battery drain otherwise phone is best .READ MORE,5
Pretty good,Very good phoneREAD MORE,4
Decent product,Overall very Good .....but battery drains too fast that is a very bad point ....... And too much heated at the time of charging.......READ MORE,3
Very poor,Flash Camera is not working properlyREAD MORE,1
Must buy!,"It's to Good. 👍Performance is mind blowing. 💪I'm recommemded this phone,,, It's value for money. 🙂Amazing colour Caneel Bay. 🤩READ MORE",5
Best in the market!,Best phone ever. Camera is also gudREAD MORE,5
Highly recommended,Best at this price range but the only problem is it heats up little when we use it on full fledgeREAD MORE,5
Awesome,Supr modelREAD MORE,5
Excellent,I am giving the review after using the mobile for 15 days.Performance 5*✨🫰Battery drained quickly 3*🥺Display 5*Camera 4*READ MORE,5
Terrific purchase,I love this phone and camera quality is too good 👍👍😊😊READ MORE,5
Just wow!,NYC mobile thanks Flipkart ⭐⭐⭐⭐⭐READ MORE,5
Brilliant,Best camera best battery backup best design overall best handsetREAD MORE,5
Perfect product!,"Best Mobile in this price range, All rounder performance, Camera is perfect, display and design Is too Good, overall Nice phone in this pric....worth itREAD MORE",5
Wonderful,Overall product is good. Battery performance is little as compared to other Motorola mobiles.READ MORE,5
Classy product,Nice Click...READ MORE,5
Wonderful,"The camera quality is average, and the design is superb. The battery of this phone is one of the best I've ever seen. Overall, it's a good phone; you can't complain too much considering the price.READ MORE",5
Good quality product,1. Amazing look2. Value for money3. Great looking phone4. IP68 Rating5. Amazing cameraREAD MORE,4
Best in the market!,Best phone ever. Camera is also gudREAD MORE,5
Highly recommended,Best at this price range but the only problem is it heats up little when we use it on full fledgeREAD MORE,5
Good choice,"Really I like this Smartphone , especially design is awesome overall worth itREAD MORE",4
Awesome,Supr modelREAD MORE,5
Excellent,I am giving the review after using the mobile for 15 days.Performance 5*✨🫰Battery drained quickly 3*🥺Display 5*Camera 4*READ MORE,5
Absolute rubbish!,Camera quality is ok ok. Display is good. Ringer speaker is bad ... Brustingy sound from first day. First I thought it will be ok after update. But remain same. Hardware issue Worried about service center due to its ip 68 ratingREAD MORE,1
Not recommended at all,Call volume worstREAD MORE,1
Terrific purchase,I love this phone and camera quality is too good 👍👍😊😊READ MORE,5
Just wow!,NYC mobile thanks Flipkart ⭐⭐⭐⭐⭐READ MORE,5
Don't waste your money,battery backup not goodREAD MORE,1
Brilliant,Best camera best battery backup best design overall best handsetREAD MORE,5
Perfect product!,"Best Mobile in this price range, All rounder performance, Camera is perfect, display and design Is too Good, overall Nice phone in this pric....worth itREAD MORE",5
Wonderful,Overall product is good. Battery performance is little as compared to other Motorola mobiles.READ MORE,5
Classy product,Nice Click...READ MORE,5
Simply awesome,Nice mobile value for money product 😍READ MORE,5
Super!,Camera.wowDisplay.wowBattery.wowAnd my favourite design oh my god wow wow wowREAD MORE,5
Must buy!,Moderate camera perfrmnce. If look matters to u thn go for it.. . Will give cmplt review after 1month🥶👌🤓READ MORE,5
Mind-blowing purchase,Good phone bt heating problemREAD MORE,5
Really Nice,Camera is goodREAD MORE,4
"Poor build quality, overall not a worth product as hyped.","Build quality is to poor, power button stopped working within 15 days, Mobile network suddenly got diapered while calling, so be aware before buying,READ MORE",1
Highly recommended,Top notch very good looking phoneREAD MORE,5
Best in the market!,The phones amazing but if you want good camera go for realme 11 pro plus if you want stock android with clean user experience choose this but I'm sure there is no much features in this like we have basic features but they are limited we can't customize always on display there is only 4 to 5 theme option and 4 font it's simple I think almost boys love the phone 😉READ MORE,5
Super!,Best SmartphoneREAD MORE,5
Pretty good,"The brand new motorola edge 40 neo comes along with 5000 mah battery but it fails to reach at least 6 hours of SOT. Hope it will be rectified in upcoming update.        Rather than battery, Every thing is looking good. One more thing is I didn't receive any update till now. It can be improved. Motorola is absolutely booming in mid range segment and also in foldable market. Hope it can occupy more than 50 percent market share in Indian mobile market if it continues launching value for money p...READ MORE",4
Highly recommended,Giving review after using 3 days. One of the best mobile I can say in this price range . Unbeatable performance and display quality is best . Camera quality also very good in this price segment. One handed Mobile phone and looks premium . Overall I will give 5 star in this price segment. I got it in offer 21k. Only cons battery draining in 5g mode. So i have changes network mode in settings to 4g and getting very good battery backup more than 1day.Happy with this Mobile. Thanks Flipkart and...READ MORE,5
Over-hyped phone with pathetic camera and fake reviews,Reviewing after using more than one week. Moto has paid to almost all the influencers for a good review and create a hype about this phone and flash-sale on Flipkart is also another ploy to create unnecessary craze. This my honest review...1. The phone is not at all for the gamers. Never buy this gaming. For gaming I'll give 1/52. The phone is not for photo-lovers as both the front and rear camera are horribly bad. Never ever buy if you like to click photos. You will repent after buying... ...READ MORE,3
Wonderful,Very nice productREAD MORE,5
Value-for-money,The phone is good for moderate users. I'm quite unsatisfied with its camera and battery. The camera makes the photo quite over saturated. It may be that someone likes it but I personally don't. Otherwise the phone is good. It feels buttery smooth in use as it comes with 144hz refresh rate. It's look and premiumness is just wow. One can easily use it with a single hand.One more problem I faced with it is of tempered glass which is not easily available in the market and I don't prefer buying ...READ MORE,4
Worth every penny,"Writing this review after 24 hours of use. Lets start with the power department. Battery performance is good. 68W charger does it's work very well. 20 to 100 percent in just 20 minutes.Camera not so good just okay okay. Colors not accurate.Phone looks very premium, design and finish excellent. Curved Display is excellent.Overall phone is very good at this price segment. IP68 is the key..people are not able to buy and phone goes out of stock in seconds. Atlast but not least.. Go to go.READ MORE",5
Best in the market!,Pros-1) Awesome display2)Pretty Impressive camera(you can see the samples I have taken)3)Sound Quality4)Design and build quality5)5g connectity is also goodCons-Battery backup can be little improved specially while using 5g constantly..Without 5g you can easily get 7-8hrs of SOT! Note: September Security patch update has came recently and it improves some bugs also..READ MORE,5
Simply awesome,Perfect...👌 💯 🥵🥵A decent and perfect mobile as a budget...READ MORE,5
Decent product,Overall good phone in this price range it's more than value for money but I got it delivered after 16 daysREAD MORE,3
Really Nice,Battery is draining too fast in 5G mode.Overall a fantastic phone to buy within 20k.I feel little bit heating while charging and using 5G when downloading.READ MORE,4
Must buy!,Value for moneyREAD MORE,5
Worth every penny,This is truly beautiful in design and a master stroke from Motorola .READ MORE,5
Classy product,Performance super and display super..But battery backup is not good when using 5g. But I normal condition battery backup is good 💯READ MORE,5
Fabulous!,GoodREAD MORE,5
Great product,Good performance phone.. Design feels like premium.. Good camera quality.. Love it 👍🏻👍🏻READ MORE,5
Just okay,Should provide atleast 3 years OS Update... many smartphones companies are providing minimum 3 years OS UPDATE and 5 years security patchREAD MORE,3
Highly recommended,Worthy..READ MORE,5
Pretty good,Total package For a Moderate User Display And Performance Department is awesome Very Handy and light weight Decent Battery backup for a day easilyBest phone for day to day UsesLoved The Device ❤️READ MORE,4
Really Nice,PRODUCT DESIGN IS EXCELLENTCAMERA IS DECENTPERFORMANCE IS OVERALL GOODDISPLAY AND SOUND QUALITY IS FABULOUS ❤️OVERALL VALUE FOR MONEYREAD MORE,4
Good choice,"I used this product for one week and the views are:Pros-Really good display and designGreat performance in terms of refresh rateNice speaker qualityGets completely changed in 20-30minCons-The battery drains too fast,I'm an average user and it lasts for half a day to me.Photos from this camera are a bit more saturated,so they don't look natural.Since it has Gorilla glass 3,you must handle it with careAnd it gets heated easily on continuous usage.Overall,this phone is not bad and ...READ MORE",4
Delightful,Review after 30 day usagePros- It is very light weight and phone feels very comfortable-IT  very good back camera specially the portrait features gives you 3 type of zoom-it has a fast charging around 40 to 48 min-much better ui-very unique features like quick launch and many more-Amazing display  colors are very goodVideo quality is decent- gives 60 fps in smooth and ultra in HDRBGMIWith gfx HDR 60 FPSCons-very heating issue-very poor front camera-not any micro lens-fin...READ MORE,4
Delightful,Must buy light weight and awesome design with smooth performanceREAD MORE,4
Pretty good,Phone is really good looking and slim. Performance is good but the camera needs improvement pictures are over sharp in indoor condition only. Overall good device.READ MORE,4
Worth the money,Nice phone but missing extend memory slotREAD MORE,4
Really Nice,Nice product but battery health average..READ MORE,4
Pretty good,Battery performance just okkHeating issue 🔥🔥🔥🔥Camera averageREAD MORE,4
Good quality product,"Actually I'm using this device for 15 days. So this is going to be honest review:1. Camera: Camera is okey type according to price point but video quality is awesome especially potrait video.4.5/5.2.Battery: Battery is 5000 mah but it doesn't feel so, drains fastly Motorola disappointed us but u can easily lasts for 1 day of full use. 3.5/5.3. Speakers output is mind blowing. 5/54. Display and build quality: Unbeatable.5/55.Network: Good but a little upgrade can be made. 4/5.I'm still u...READ MORE",4
Fabulous!,"Motorola Edge 40 Neo- **Design:**  - The Motorola Edge 40 Neo boasts a sleek and modern design, with a slim profile and premium build materials that exude sophistication.  - Its ergonomic curves and thoughtful placement of buttons make it comfortable to hold and use, enhancing the overall user experience.- **Battery with 68W Charger:**  - The device features a robust battery life, ensuring you stay powered throughout the day with moderate to heavy usage.  - The inclusion of a blazing-...READ MORE",5
Terrific,Good 👍 and bestREAD MORE,5
Mind-blowing purchase,"Awesome mobile😍The battery could have been better, the camera is also fine but at this price the mobile is very good...READ MORE",5
Awesome,Nice phone but it's need more updates for bestREAD MORE,5
Must buy!,This is perfect phone with loaded full of new features camera display and performance of this phone is awesomeREAD MORE,5
Fabulous!,everything is good this is my first Moto phone and I am very happy from my this decision..sound 10/10camera 10/10design 10/10READ MORE,5
Very Good,Phone design is great but camera performance is not good...READ MORE,4
Awesome,"Everything(look, design, display battery and especially camera) is outstanding👍.Anyone will think to buy ,just go for it💥.READ MORE",5
Moderate,Overall design..look and performance better..butHeating issue is a big problem..Battery drain rapidlyWorking on mobile overheating problem..One night 10%reduction without 5G networkREAD MORE,2
Perfect product!,Everything is very goodREAD MORE,5
Did not meet expectations,Sim to bsnl not working singles not comingSim 2 bsnl no servis Over hitingREAD MORE,1
Did not meet expectations,"Three navigation buttons can't be make left to right, then this phone useless for a person who uses since while in that manners, this feature available in all  phones even under 5k.READ MORE",1
Really Nice,1. Back camera 10 /82. Front camera 10/53. Display 10/94. Performance 10/8 *Issues Phone is very heatREAD MORE,4
Nice product,battery performance awesome after the updationREAD MORE,4
Absolute rubbish!,Worst product that I have purchasedREAD MORE,1
Highly recommended,Worthy..READ MORE,5
Fabulous!,Video recording is very bad But display and disign is fabulous 😍READ MORE,5
Pretty good,Total package For a Moderate User Display And Performance Department is awesome Very Handy and light weight Decent Battery backup for a day easilyBest phone for day to day UsesLoved The Device ❤️READ MORE,4
Not good,Battery performances to bad 😞 do not buy this phone guysREAD MORE,2
Horrible,"Phone is good but you can't feel like 144 hz very slow and TSR Is not good, The camera is decent not good for Low lightREAD MORE",1
Really Nice,PRODUCT DESIGN IS EXCELLENTCAMERA IS DECENTPERFORMANCE IS OVERALL GOODDISPLAY AND SOUND QUALITY IS FABULOUS ❤️OVERALL VALUE FOR MONEYREAD MORE,4
Good choice,"I used this product for one week and the views are:Pros-Really good display and designGreat performance in terms of refresh rateNice speaker qualityGets completely changed in 20-30minCons-The battery drains too fast,I'm an average user and it lasts for half a day to me.Photos from this camera are a bit more saturated,so they don't look natural.Since it has Gorilla glass 3,you must handle it with careAnd it gets heated easily on continuous usage.Overall,this phone is not bad and ...READ MORE",4
Not recommended at all,Batry back up is poorREAD MORE,1
Worst experience ever!,"1.bettery is not for good 👍 quickly drain bettery and heating issue please fix this problem 😭😭 2.Three navigation buttons can't be make left to right, then this phone useless for a person who uses since while in that manners, this feature available in all phones. 3. delivery by ekart (inhouse Flipkart delivery) is wrost.READ MORE",1
Best in the market!,Best phone under 20kOnly con is in camera department only some improvements are neededREAD MORE,5
Delightful,Review after 30 day usagePros- It is very light weight and phone feels very comfortable-IT  very good back camera specially the portrait features gives you 3 type of zoom-it has a fast charging around 40 to 48 min-much better ui-very unique features like quick launch and many more-Amazing display  colors are very goodVideo quality is decent- gives 60 fps in smooth and ultra in HDRBGMIWith gfx HDR 60 FPSCons-very heating issue-very poor front camera-not any micro lens-fin...READ MORE,4
Expected a better product,"Width of the phone is not sufficient for normal use - even key pad space is not enough and height is unnecessarily a bit extra. Camera is ok- adding brown skin tone, battery drains little fast. Phone performance is good. Phone is good if used as secondary, not as primary phone.READ MORE",2
Awesome,"Phone is good, problem is only batteryREAD MORE",5
Highly recommended,"The Motorola Edge 40 Neo is a well-rounded smartphone that offers a lot of value for its price. It has a sleek design, a bright and vibrant display, and a decent camera. Performance is also good, and the phone has a long-lasting battery. Overall, the Moto Edge 40 Neo is a great choice for anyone looking for a mid-range smartphone.READ MORE",5
Delightful,Must buy light weight and awesome design with smooth performanceREAD MORE,4
Absolute rubbish!,3 days back I purchased the phone.i never expect this when I'm trying to unlock that shows white screen.bad experience.no return policy applicable.not recommendedREAD MORE,1
Fair,Camera is done but battery is not good overheating problem speaker is superbREAD MORE,3
Pretty good,Phone is really good looking and slim. Performance is good but the camera needs improvement pictures are over sharp in indoor condition only. Overall good device.READ MORE,4
Awesome,Very nice product really I like itREAD MORE,5
Good,It's performance  is very nice ...READ MORE,3
Brilliant,Best phoneREAD MORE,5
Classy product,Very amazing phone 🤩🤩🤩READ MORE,5
Awesome,Good one.. Everything works perfectly..READ MORE,5
Wonderful,GoodREAD MORE,4
Delightful,Good phone but after using for a month now i figured some cons:-1. Battery drains very fast.2. Device heats a lot. While charging for about 10-15 min it heats a lot.After using for a while u will notice some heat eventually it becomes irritable..Otherwise its a 5 star in other categories!READ MORE,4
Good choice,Since I have bought this mobile in just 30 days 25 to 30 people asked me about this mobile and admired the display quality and design and said it looked very good at this price it's a very good choice.READ MORE,4
Good quality product,"Best in this budget only 2 things that can be improved. The volume and lock button feels cheap , second the cover is not protecting the sides and camera .READ MORE",4
Worth the money,This is 2nd mobileREAD MORE,4
Value-for-money,Amazing productREAD MORE,4
Awesome,Nice phoneREAD MORE,4
Worth the money,DISPLAY 5/5Camera 5/3.5Speaker 5/5Charging 5/4.5Overall 5/4.5READ MORE,4
Very Good,It's a really good phoneREAD MORE,4
Good quality product,Owsm phoneREAD MORE,4
Wonderful,It is good phone and camera also good in day mode light and night but selfie camera is low in night but good in day mode . And performance is excellent and battery is enough for daily use approx 10-12 hours backup without playing high game .READ MORE,5
Great product,Gud qualityREAD MORE,5
Highly recommended,This is best ip68 water-resistant 5g phone best display and cemaraREAD MORE,5
Decent product,"Battery backup not good quickly drain. When i put loud speaker while calling not clear voice. Other than that perfomance, camera and display are goodREAD MORE",3
Slightly disappointed,Everything is average but build quality is very poor..READ MORE,2
Value-for-money,Amazing product 💥READ MORE,4
